;Actor;Sex;Emotion;Intensity;Statement;Reps;File;No. Samples;Duration;Hurst Exponent;Sample Rate
0;Actor_01;Man;Neutral;Normal;Kids are talking by the door;1;03-01-01-01-01-01-01.wav;72838;3.303310657596372;0.54276896;9999.968
1;Actor_01;Man;Neutral;Normal;Kids are talking by the door;2;03-01-01-01-01-02-01.wav;73574;3.336689342403628;0.5671676;10000.032
2;Actor_01;Man;Neutral;Normal;Dogs are sitting by the door;1;03-01-01-01-02-01-01.wav;72102;3.269931972789116;0.55500495;9999.902
3;Actor_01;Man;Neutral;Normal;Dogs are sitting by the door;2;03-01-01-01-02-02-01.wav;69895;3.1698412698412697;0.54170424;9999.87
4;Actor_01;Man;Calm;Normal;Kids are talking by the door;1;03-01-02-01-01-01-01.wav;77988;3.53687074829932;0.5297674;9999.8
5;Actor_01;Man;Calm;Normal;Kids are talking by the door;2;03-01-02-01-01-02-01.wav;79460;3.603628117913832;0.49416965;9999.922
6;Actor_01;Man;Calm;Normal;Dogs are sitting by the door;1;03-01-02-01-02-01-01.wav;77253;3.5035374149659866;0.5407818;9999.894
7;Actor_01;Man;Calm;Normal;Dogs are sitting by the door;2;03-01-02-01-02-02-01.wav;76517;3.47015873015873;0.55558604;9999.831
8;Actor_01;Man;Calm;Strong;Kids are talking by the door;1;03-01-02-02-01-01-01.wav;81667;3.703718820861678;0.49476677;9999.949
9;Actor_01;Man;Calm;Strong;Kids are talking by the door;2;03-01-02-02-01-02-01.wav;88289;4.004036281179138;0.4679226;9999.909
10;Actor_01;Man;Calm;Strong;Dogs are sitting by the door;1;03-01-02-02-02-01-01.wav;92703;4.20421768707483;0.4717267;9999.958
11;Actor_01;Man;Calm;Strong;Dogs are sitting by the door;2;03-01-02-02-02-02-01.wav;88289;4.004036281179138;0.4438233;9999.909
12;Actor_01;Man;Happy;Normal;Kids are talking by the door;1;03-01-03-01-01-01-01.wav;76517;3.47015873015873;0.5110926;9999.831
