File;Emotion;lyap_e1;lyap_e2;lyap_e3;lyap_e4;sampen;hurst;dfa
03-01-01-01-01-01-01.wav;Neutral;0.19412312;0.04904685;-0.05827832;-0.22985484;0.0024563705;0.54276896;0.5258165
03-01-01-01-01-02-01.wav;Neutral;0.20282748;0.054278906;-0.055130754;-0.23013097;0.0032665322;0.5671676;0.54388154
03-01-01-01-02-01-01.wav;Neutral;0.20676012;0.053725157;-0.055659585;-0.23209757;0.0017182775;0.55500495;0.4979893
03-01-01-01-02-02-01.wav;Neutral;0.2103369;0.060357325;-0.05229916;-0.22509247;0.0025897995;0.54170424;0.52865845
03-01-02-01-01-01-01.wav;Calm;0.20210151;0.052979633;-0.056395896;-0.23306678;0.0054139323;0.5297674;0.5370128
03-01-02-01-01-02-01.wav;Calm;0.20167723;0.050678987;-0.05676242;-0.23097692;0.0045898957;0.49416965;0.5661335
03-01-02-01-02-01-01.wav;Calm;0.19773102;0.04837195;-0.057051446;-0.22805987;0.0024957152;0.5407818;0.527503
03-01-02-01-02-02-01.wav;Calm;0.21206139;0.057342354;-0.054070607;-0.23073378;0.0023725126;0.55558604;0.5405608
03-01-02-02-01-01-01.wav;Calm;0.18774462;0.04935158;-0.054734256;-0.22785932;0.0044845683;0.49476677;0.62280136
03-01-02-02-01-02-01.wav;Calm;0.18963552;0.048018906;-0.05660174;-0.22875062;0.006617769;0.4679226;0.59041977
03-01-02-02-02-01-01.wav;Calm;0.19040261;0.04956679;-0.05215281;-0.22043802;0.0051812413;0.4717267;0.5360137
03-01-02-02-02-02-01.wav;Calm;0.18296348;0.043908916;-0.053414702;-0.22174418;0.0040924717;0.4438233;0.55696267
03-01-03-01-01-01-01.wav;Happy;0.20352526;0.055792864;-0.053500768;-0.23134767;0.0042730425;0.5110926;0.4741034
03-01-03-01-01-02-01.wav;Happy;0.19311962;0.052636363;-0.055233695;-0.23129618;0.0061159786;0.6152229;0.49459487
03-01-03-01-02-01-01.wav;Happy;0.19202374;0.05018904;-0.054364342;-0.22633918;0.0029254004;0.49800432;0.4744785
03-01-03-01-02-02-01.wav;Happy;0.20717898;0.057929907;-0.05231739;-0.22735225;0.0028100847;0.5068541;0.46831304
03-01-03-02-01-01-01.wav;Happy;0.171119;0.045206163;-0.05619437;-0.22085027;0.004063917;0.42329538;0.3946122
03-01-03-02-01-02-01.wav;Happy;0.1443454;0.03805169;-0.050790824;-0.20204945;0.0051530423;0.55864704;0.41726565
